;;;;;;;;
Министерство Финансов РФ;Е/О;XS0767473852;0.35;;да;нет;да;нет
Министерство Финансов РФ;Е/О;XS0971721963;0.35;;да;нет;да;нет
Министерство Финансов РФ;Е/О;RU000A0JXU14;0.374;;да;нет;да;нет
RUSAL plc;АО;RUAL;0.5;0.5;да;да;нет;нет
Royal Dutch Shell plc;акции;RDS.A_SPB;0.35;;нет;нет;нет;да
Spirit Airlines, Inc.;акции;SAVE_SPB;0.45;;нет;нет;нет;да
Tesla, Inc.;акции;TSLA_SPB;0.35;;нет;нет;нет;да
THE BOEING COMPANY;акции;BA_SPB;0.35;;нет;нет;нет;да
THE COCA-COLA COMPANY;акции;KO_SPB;0.37;;нет;нет;нет;да
The Home Depot, Inc.;акции;HD_SPB;0.4025;;нет;нет;нет;да
The Walt Disney Company;акции;DIS_SPB;0.385;;нет;нет;нет;да
The Goodyear Tire & Rubber Company;акции;GT_SPB;0.38;;нет;нет;нет;да
UnitedHealth Group Incorporated;акции;UNH_SPB;0.42;;нет;нет;нет;да
USD (доллар США);валюта;USD;0.0996;0.0996;да;да;нет;нет
Veb Finance plc;Е/О;XS0800817073;0.22;;да;нет;да;нет
Veb Finance plc;Е/О;XS0993162683;0.3;;да;нет;да;нет
Veb Finance plc;Е/О;XS0559915961;0.41;;да;нет;да;нет
VEON Ltd.;акции;VEON_SPB;0.352;;нет;нет;нет;да
Verizon Communications Inc.;акции;VZ_SPB;0.36;;нет;нет;нет;да
Halliburton Company;акции;HAL_SPB;0.40;;нет;нет;нет;да
Vipshop Holdings Limited;акции;VIPS_SPB;0.396;;нет;нет;нет;да
Visa Inc.;акции;V_SPB;0.375;;нет;нет;нет;да
VTB Eurasia DAC;Е/О;XS0810596832;0.5;;да;нет;да;нет
VTBA ETF;пай;VTBA;0.3045;0.3045;да;да;нет;нет
VTBB ETF;пай;VTBB;0.25;;да;нет;нет;нет
Walmart Inc.;акции;WMT_SPB;0.4025;;нет;нет;нет;да
Wells Fargo & Company;акции;WFC_SPB;0.36;;нет;нет;нет;да
Woodward, Inc.;акции;WWD_SPB;0.315;;нет;нет;нет;да
Yandex N.V.;АО;YNDX;0.21;0.21;да;да;нет;нет
АК «АЛРОСА» (ПАО);АО;ALRS;0.2;0.2;да;да;нет;нет
ПАО «Аэрофлот»;АО;AFLT;0.35;0.35;да;да;нет;нет
ПАО АНК «Башнефть»;АО;BANE;0.38;0.38;да;да;нет;нет
ПАО АНК «Башнефть»;АП;BANEP;0.38;0.38;да;да;нет;нет
ПАО Банк ВТБ;АО;VTBR;0.22;0.32;да;да;нет;нет
Банк ВТБ (ПАО) Б-1-8;Облигации;RU000A0ZZH84;0.4;;да;нет;да;нет
Банк ВТБ (ПАО) БО-30;Облигации;RU000A0JV3Q3;0.4;;да;нет;да;нет
Банк ВТБ (ПАО) БО-43;Облигации;RU000A0JU773;0.27;;да;нет;да;нет
ПАО «Газпром нефть»;АО;SIBN;0.38;0.38;да;да;нет;нет
ПАО «Газпром»;АО;GAZP;0.2;0.2;да;да;нет;нет
ПАО «ГМК «Норильский Никель»;АО;GMKN;0.2;0.2;да;да;нет;нет
"ПАО ""Детский мир""";АО;DSKY;0.5;0.5;да;да;нет;нет
ПАО «Интер РАО»;АО;IRAO;0.34;0.34;да;да;нет;нет
Лента (US52634T2006);АО;LNTA;0.5;0.5;нет;да;нет;нет
"ПАО ""Ленэнерго""";АО;LSNG;0.6;0.6;да;да;нет;нет
ПАО «Группа ЛСР»;АО;LSRG;0.5;0.5;да;да;нет;нет
ПАО «ЛУКОЙЛ»;АО;LKOH;0.2;0.2;да;да;нет;нет
"ПАО ""М.видео""";АО;MVID;0.5;0.5;да;да;нет;нет
ПАО «Магнит»;АО;MGNT;0.2;0.2;да;да;нет;нет
ПАО «Мечел»;АО;MTLR;0.75;0.75;да;да;нет;нет
ПАО «Мечел»;АП;MTLRP;0.7;0.7;да;да;нет;нет
"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""";АО;CBOM;0.38;0.38;да;да;нет;нет
ПАО «ММК»;АО;MAGN;0.2;0.2;да;да;нет;нет
ПАО Московская Биржа;АО;MOEX;0.2;0.2;да;да;нет;нет
ПАО «МОЭСК»;АО;MSRS;0.5;;да;нет;нет;нет
"ПАО ""МРСК Центра и Приволжья""";АО;MRKP;0.6;0.6;да;да;нет;нет
ПАО «Мобильные ТелеСистемы»;АО;MTSS;0.2;0.2;да;да;нет;нет
ПАО «НЛМК»;АО;NLMK;0.2;0.2;да;да;нет;нет
ПАО «НОВАТЭК»;АО;NVTK;0.2;0.2;да;да;нет;нет
ПАО «ОГК-2»;АО;OGKB;0.38;0.38;да;да;нет;нет
Министерство Финансов РФ;ОФЗ;SU24020RMFS8;0.15;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU25083RMFS5;0.1;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26207RMFS9;0.09;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26209RMFS5;0.08;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26211RMFS1;0.08;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26212RMFS9;0.105;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26215RMFS2;0.1;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26217RMFS8;0.1;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26218RMFS6;0.12;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26219RMFS4;0.09;;да;нет;да;нет
Министерство Финансов РФ;ОФЗ;SU26220RMFS2;0.08;;да;нет;да;нет
