Name;Ticker;AUM
SPDR® Portfolio Long Term Treasury ETF;SPTL;$4,108.72 M
SPDR® Portfolio S&P 1500® Composite Stock Market ETF;SPTM;$5,558.84 M
SPDR® Portfolio Short Term Treasury ETF;SPTS;$3,514.00 M
SPDR® S&P 500® ETF Trust;SPY;$395,962.23 M
SPDR® Portfolio S&P 500® High Dividend ETF;SPYD;$4,986.66 M
SPDR® Portfolio S&P 500® Growth ETF;SPYG;$13,569.90 M
SPDR® Portfolio S&P 500® Value ETF;SPYV;$12,804.98 M
SPDR® S&P® 500 Fossil Fuel Reserves Free ETF;SPYX;$1,211.06 M
SPDR® Blackstone Senior Loan ETF;SRLN;$7,751.46 M
SPDR® DoubleLine® Short Duration Total Return Tactical ETF;STOT;$193.03 M
SPDR® Nuveen Bloomberg Barclays Municipal Bond ETF;TFI;$3,904.19 M
SPDR® Bloomberg Barclays 1-10 Year TIPS ETF;TIPX;$960.89 M
SPDR® DoubleLine® Total Return Tactical ETF;TOTL;$3,065.84 M
SPDR® SSGA Ultra Short Term Bond ETF;ULST;$484.02 M
SPDR® S&P® 1500 Value Tilt ETF;VLU;$217.62 M
SPDR® S&P® Global Dividend ETF;WDIV;$333.69 M
SPDR® FTSE International Government Inflation-Protected Bond ETF;WIP;$443.21 M
SPDR® S&P® Aerospace & Defense ETF;XAR;$1,235.83 M
SPDR® S&P® Biotech ETF;XBI;$6,860.38 M
SPDR® S&P® Oil & Gas Equipment & Services ETF;XES;$173.72 M
SPDR® S&P® Homebuilders ETF;XHB;$1,722.75 M
SPDR® S&P® Health Care Equipment ETF;XHE;$781.01 M
SPDR® S&P® Health Care Services ETF;XHS;$182.89 M
SPDR® FactSet Innovative Technology ETF;XITK;$334.57 M
The Materials Select Sector SPDR® Fund;XLB;$7,478.65 M
The Communication Services Select Sector SPDR® Fund;XLC;$14,827.99 M
The Energy Select Sector SPDR® Fund;XLE;$27,663.27 M
The Financial Select Sector SPDR® Fund;XLF;$43,144.43 M
The Industrial Select Sector SPDR® Fund;XLI;$17,798.72 M
The Technology Select Sector SPDR® Fund;XLK;$45,141.28 M
The Consumer Staples Select Sector SPDR® Fund;XLP;$11,673.40 M
The Real Estate Select Sector SPDR® Fund;XLRE;$4,364.00 M
SPDR® SSGA US Sector Rotation ETF;XLSR;$175.73 M
The Utilities Select Sector SPDR® Fund;XLU;$12,415.77 M
The Health Care Select Sector SPDR® Fund;XLV;$29,967.97 M
The Consumer Discretionary Select Sector SPDR® Fund;XLY;$20,523.08 M
SPDR® S&P® Metals & Mining ETF;XME;$1,874.78 M
SPDR® NYSE Technology ETF;XNTK;$721.86 M
SPDR® S&P® Oil & Gas Exploration & Production ETF;XOP;$4,385.55 M
SPDR® S&P® Pharmaceuticals ETF;XPH;$235.19 M
SPDR® S&P® Retail ETF;XRT;$807.12 M
SPDR® S&P® Semiconductor ETF;XSD;$1,117.09 M
SPDR® S&P® Software & Services ETF;XSW;$575.00 M
SPDR® S&P® Telecom ETF;XTL;$80.33 M
SPDR® S&P® Transportation ETF;XTN;$562.40 M
SPDR® S&P® Internet ETF;XWEB;$52.73 M
